obs_n,study_id,study_name,effect,se,t_stat,95_lower,95_upper,pcc,se_pcc,se_pcc_precision,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_log_hourly,wage_log_daily,wage_log_monthly,wage_mean_annual_earnings,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_latin_america_and_caribbean,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,freedom_index,mean_age,method_ols,method_hurdle,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,marriage_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,effect_w,se_w,se_precision_w,t_w,significant_w,X
1,1,Leigh (2008),11,0.834983498349835,13.173913043478262,10.165016501650165,11.834983498349835,0.12240880647423871,0.009291757587153433,107.6222652840811,1,0,0,0,0,1,0,11414,4,11409,4,15,23.5,0,1,1,0,0,0,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,NA,NA,NA,NA,NA,X
2,1,Leigh (2008),15,1.2561576354679802,11.941176470588236,13.74384236453202,16.25615763546798,0.10718916127037026,0.008976432224612288,111.4028352220074,1,0,0,0,0,1,0,12273,4,12268,4,15,23.5,0,1,0,0,0,1,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,NA,NA,NA,NA,NA,X
3,1,Leigh (2008),8,0.7506702412868633,10.657142857142857,7.249329758713136,8.750670241286864,0.09928097222748934,0.009315908922150475,107.34325639683917,1,0,0,0,0,1,0,11414,4,11409,4,17,21.5,0,1,1,0,0,0,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,NA,NA,NA,NA,NA,X
4,1,Leigh (2008),13,1.2224231464737794,10.634615384615385,11.77757685352622,14.22242314647378,0.09557454934859788,0.008987118564425118,111.27036912124763,1,0,0,0,0,1,0,12273,4,12268,4,17,21.5,0,1,0,0,0,1,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,NA,NA,NA,NA,NA,X
5,2,Bartolj et al. (2013),10.082582613601465,1.7508676394876794,5.758620689655173,8.331714974113785,11.833450253089145,0.019245703412712013,0.0033420682572972956,299.21591152919547,1,0,0,0,0,1,0,89504,6,89497,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
6,2,Bartolj et al. (2013),9.427024125309735,0.34792180427329433,27.09523809523809,9.07910232103644,9.77494592958303,0.09020169961662938,0.003329060970033774,300.3850061628204,1,0,0,0,0,1,0,89504,6,89497,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
7,2,Bartolj et al. (2013),10.853077874552719,0.9035675051661677,12.011363636363637,9.949510369386552,11.756645379718886,0.040117910747212535,0.0033399963535995295,299.4015244724131,1,0,0,0,0,1,0,89504,6,89497,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
8,2,Bartolj et al. (2013),9.439541560473774,2.126158722087543,4.4397163120567384,7.313382838386231,11.565700282561316,0.014838949670192073,0.003342319334659875,299.1934342209594,1,0,0,0,0,1,0,89504,6,89497,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
9,2,Bartolj et al. (2013),10.055068845243875,1.2682068813821104,7.928571428571429,8.786861963861766,11.323275726625985,0.02649343282589407,0.0033415140501127654,299.26553801749037,1,0,0,0,0,1,0,89504,6,89497,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
10,2,Bartolj et al. (2013),9.301197394385863,0.23252993485964657,40,9.068667459526216,9.53372732924551,0.132528094533564,0.0033132023633391005,301.82279569310197,1,0,0,0,0,1,0,89504,6,89497,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
