var_name,var_name_verbose,data_type,group_category,na_handling,variable_summary,effect_sum_stats,equal,gtlt,bma_potential_var,bma,to_log_for_bma,bpe
obs_n,Observation Number,int,1,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
study_id,Study ID,int,2,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
study_name,Study Name,category,3,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
effect,Effect,float,4,stop,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
se,Effect Standard Error,float,5,stop,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
t_stat,T-Statistic,float,6,stop,TRUE,TRUE,NA,median,FALSE,FALSE,FALSE,stop
95_lower,95% CI Lower Bound of the Effect,float,7,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
95_upper,95% CI Upper Bound of the Effect,float,7,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
pcc,Partial Correlation Coefficient,float,8,stop,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
se_pcc,Standard Error of the PCC,float,9,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
se_pcc_precision,Precision,float,9,stop,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
est_short_run,Estimate - Short Run,dummy,11,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
est_long_run,Estimate - Long Run,dummy,11,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
est_agg_city,Estimate - City,dummy,12,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
est_agg_subregion,Estimate - Sub-region,dummy,12,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
est_agg_region,Estimate - Region,dummy,12,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
est_agg_country,Estimate - Country,dummy,12,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
est_agg_continent,Estimate - Continent,dummy,12,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
n_obs,Number of Observations,int,13,stop,TRUE,TRUE,NA,median,FALSE,FALSE,FALSE,stop
regressands,Number of Regressands,int,13,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
reg_df,Degrees of Freedom,int,13,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
study_size,Study Size,int,14,stop,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,mean
years_of_schooling,Years of Schooling,float,15,median,TRUE,TRUE,NA,median,TRUE,TRUE,FALSE,mean
years_of_experience,Years of Experience,float,16,median,TRUE,TRUE,NA,median,TRUE,TRUE,FALSE,mean
schooling_years,Education - Years of Schooling,dummy,17,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
schooling_levels,Education - Levels of Schooling,dummy,17,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
wage_log_hourly,Wage - Log Hourly,dummy,18,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
wage_log_daily,Wage - Log Daily,dummy,18,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
wage_log_monthly,Wage - Log Monthly,dummy,18,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
wage_mean_annual_earnings,Wage - Mean Annual Earnings,dummy,18,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
data_type_micro,Data Source - Micro,dummy,19,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
data_type_survey,Data Source - Survey,dummy,19,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
data_type_national_register,Data Source - National Register,dummy,19,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
data_cross_section,Data Type - Cross Section,dummy,20,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
data_panel,Data Type - Panel,dummy,20,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
data_avgyear,Data Year - Average,float,21,median,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,mean
no_ed,Attained Education - None,perc,22,mean,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
prim_ed,Attained Education - Primary,perc,22,mean,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,mean
sec_ed,Attained Education - Secondary,perc,22,mean,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,mean
higher_ed,Attained Education - Higher,perc,22,mean,TRUE,TRUE,NA,0.5,TRUE,TRUE,FALSE,mean
wage_earners,Employees - Wage Earners,perc,24,mean,TRUE,TRUE,NA,0.5,TRUE,TRUE,FALSE,mean
self_employed,Employees - Self-Employed,perc,24,mean,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
gender_male,Gender - Male,perc,25,mean,TRUE,TRUE,NA,0.5,TRUE,TRUE,FALSE,mean
gender_female,Gender - Female,perc,25,mean,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
private_sector,Sector - Private,perc,26,mean,TRUE,TRUE,NA,0.5,TRUE,TRUE,FALSE,mean
public_sector,Sector - Public,perc,26,mean,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
ethnicity_caucasian,Ethnicity - Caucasian,perc,27,mean,TRUE,TRUE,NA,0.5,TRUE,TRUE,FALSE,mean
ethnicity_other,Ethnicity - Other,perc,27,mean,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
sector_rural,Sector - Rural,perc,28,mean,TRUE,TRUE,NA,0.5,TRUE,TRUE,FALSE,mean
sector_urban,Sector - Urban,perc,28,mean,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
country,Country,category,29,stop,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
region_advanced_economies,Region - Advanced Economies,dummy,30,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
region_east_asia_and_pacific,Region - East Asia and Pacific,dummy,30,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
region_europe_and_central_asia,Region - Europe and Central Asia,dummy,30,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
region_latin_america_and_caribbean,Region - Latin America and Caribbean,dummy,30,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
region_middle_east_and_north_africa,Region - Middle East and North Africa,dummy,30,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
region_south_asia,Region - South Africa,dummy,30,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
region_sub_saharan_africa,Region - Sub Saharan Africa,dummy,30,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
income_high,Income - High,dummy,31,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
income_middle,Income - Middle,dummy,31,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
income_low,Income - Low,dummy,31,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
med_exp,Median Expenditure,float,32,median,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,mean
min_wage,Minimum Wage,float,33,median,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,mean
freedom_index,Academic Freedom Index,float,34,median,TRUE,TRUE,NA,median,TRUE,TRUE,FALSE,mean
mean_age,Mean Wage,float,35,median,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,mean
method_ols,Method - OLS,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_hurdle,Method - Hurdle,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_cohort,Method - Cohort,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_fe,Method - Fixed Effects,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_2sls,Method - 2SLS,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_heckman,Method - Heckman,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_probit,Method - Probit,dummy,36,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
method_IV,Method - IV,dummy,36,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
ability_direct,Ability - Direct,dummy,37,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
ability_proxy,Ability - Proxied,dummy,37,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
ability_uncontrolled,Ability - Uncontrolled,dummy,37,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
ability_unmentioned,Ability - Unmentioned,dummy,37,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
instr_parents_ed,Instrument - Parents Education,int,38,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
instr_distance_to_school,Instrument - Distance to School,int,38,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
instr_spouse_ed,Instrument - Spouse Education,int,38,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
instr_marital_status,Instrument - Marital Status,int,38,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
instr_other,Instument - Other,int,38,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
age_control,Control - Age,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
age_sq_control,Control - Age Squared,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
exp_control,Control - Experience,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
exp_sq_control,Control - Experience Squared,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
ethnicity_control,Control - Ethnicity,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
