Leigh (2008);Leigh;2008,,
Gunderson, & Oreopolous (2020);Gunderson, & Oreopolous;2020
Belzil (2005);Belzil;2005,,
Card (1999);Card;1999,,
Psacharopoulos, & Patrinos (2018);Psacharopoulos, & Patrinos;2018
Harmon et al. (2003);Harmon et al.;2003,,
Bartolj et al. (2013);Bartolj et al.;2013,,
Salas-Velasco (2006);Salas-Velasco;2006,,
Psacharopoulos, & Patrinos (2018);Psacharopoulos, & Patrinos;2018
Ning (2005);Ning;2005,,
Arias, & Wmcmahon (2001);Arias, & Wmcmahon;2001
Harmon et al. (2001);Harmon et al.;2001,,
Harberger, & Guillermo-Peón (2012);Harberger, & Guillermo-Peón;2012
Lillo-Bañuls, & Mcasado-Díaz (2010);Lillo-Bañuls, & Mcasado-Díaz;2010
Wincenciak (2020);Wincenciak;2020,,
Okuwa (2004);Okuwa;2004,,
Appiah (2013);Appiah;2013,,
Blundell et al. (1999);Blundell et al.;1999,,
Vila (2005);Vila;2005,,
Patrinos, & Psacharopoulos (2020);Patrinos, & Psacharopoulos;2020
Griliches (1997);Griliches;1997,,
Colclough et al. (2009);Colclough et al.;2009,,
Norell (2019);Norell;2019,,
Webbink (2004);Webbink;2004,,
Colclough et al. (2010);Colclough et al.;2010,,
Kenayathulla (2013);Kenayathulla;2013,,
Saksonova, & Vilerts (2015);Saksonova, & Vilerts;2015
Psacharopoulos, & Patrinos* (2004);Psacharopoulos, & Patrinos*;2004
Lang (1992);Lang;1992,,
Asadullah (2006);Asadullah;2006,,
Boeri, & Ours (2010);Boeri, & Ours;2010
Luongo et al. (2010);Luongo et al.;2010,,
Maluccio (1998);Maluccio;1998,,
Pastore, & Verashchagina (2006);Pastore, & Verashchagina;2006
Depken et al. (2019);Depken et al.;2019,,
Purnastuti et al. (2015);Purnastuti et al.;2015,,
Berman et al. (2003);Berman et al.;2003,,
Umar et al. (2014);Umar et al.;2014,,
Sinning (2014);Sinning;2014,,
Aslam (2009);Aslam;2009,,
Hartog et al. (1999);Hartog et al.;1999,,
Agrawal (2012);Agrawal;2012,,
Sackey (2008);Sackey;2008,,
Blundell et al. (2005);Blundell et al.;2005,,
Patrinos et al. (2021);Patrinos et al.;2021,,
Vural, & Gülcan (2008);Vural, & Gülcan;2008
Amaghionyeodiwe, & Osinubi (2007);Amaghionyeodiwe, & Osinubi;2007
Giles et al. (2019);Giles et al.;2019,,
Van Der Hoeven (2013);Van Der Hoeven;2013,,
Hout (2012);Hout;2012,,
Harmon et al. (2000);Harmon et al.;2000,,
Acemoglu, & Angrist (1999);Acemoglu, & Angrist;1999
Ginsburgh et al. (2011);Ginsburgh et al.;2011,,
Vivatsurakit, & Vechbanyongratana (2020);Vivatsurakit, & Vechbanyongratana;2020
Jamal (2015);Jamal;2015,,
Qiu (2007);Qiu;2007,,
Makowsky, & Cmiller (2014);Makowsky, & Cmiller;2014
Mphuka, & Simumba (2012);Mphuka, & Simumba;2012
Gebel, & Heineck (2019);Gebel, & Heineck;2019
Lobo, & Aburke-Smalley (2018);Lobo, & Aburke-Smalley;2018
Aslam (2007);Aslam;2007,,
Himaz, & Aturupane (2016);Himaz, & Aturupane;2016
Warunsiri, & Mcnown (2010);Warunsiri, & Mcnown;2010
Aromolaran (2006);Aromolaran;2006,,
Salehi-Isfahani et al. (2009);Salehi-Isfahani et al.;2009,,
Wolfe, & Hhaveman (2002);Wolfe, & Hhaveman;2002
Botchorishvili (2007);Botchorishvili;2007,,
Mendiratta, & Gupt (2013);Mendiratta, & Gupt;2013
D'Amato et al. (2012);D'Amato et al.;2012,,
Jamal (2015);Jamal;2015,,
Girma, & Kedir (2005);Girma, & Kedir;2005
Fleisher et al. (2011);Fleisher et al.;2011,,
Barouni, & Broecke (2014);Barouni, & Broecke;2014
Bils, & Jklenow (2000);Bils, & Jklenow;2000
Krueger, & Lindahl (1999);Krueger, & Lindahl;1999
De & Rozelle (2008);De & Rozelle;2008,,
Sabates et al. (2021);Sabates et al.;2021,,
Chanis et al. (2021);Chanis et al.;2021,,
Krueger, & Lindahl (2001);Krueger, & Lindahl;2001
Gabe (2009);Gabe;2009,,
Paweenawat, & Vechbanyongratana (2015);Paweenawat, & Vechbanyongratana;2015
Riddell (None);Riddell;,,
Vasudeva Dutta (2006);Vasudeva Dutta;2006,,
Gibson, & Fatai (2006);Gibson, & Fatai;2006
Gerochi (2010);Gerochi;2010,,
Hawley (2004);Hawley;2004,,
Boarini, & Strauss (2010);Boarini, & Strauss;2010
Sohn (2013);Sohn;2013,,
Harmon et al. (2002);Harmon et al.;2002,,
Lillo (None);Lillo;,,
Sauler, & Tomaliwan (2017);Sauler, & Tomaliwan;2017
Borooah et al. (2008);Borooah et al.;2008,,
Tansel (2021);Tansel;2021,,
Cegolon (2014);Cegolon;2014,,
Agyeman (2012);Agyeman;2012,,
Zhong (2011);Zhong;2011,,
Lang (1992);Lang;1992,,
Lewin (2006);Lewin;2006,,
Bakis et al. (2009);Bakis et al.;2009,,
Barouni, & Broecke (2012);Barouni, & Broecke;2012
Krafft (2018);Krafft;2018,,
Fabunmi (2012);Fabunmi;2012,,
Walker, & Zhu (2008);Walker, & Zhu;2008
Mcmahon (2009);Mcmahon;2009,,
Desalegn (2018);Desalegn;2018,,
Wambugu (2003);Wambugu;2003,,
Tatlah et al. (2011);Tatlah et al.;2011,,
Acemoglu, & Angrist (2000);Acemoglu, & Angrist;2000
Aryal et al. (2022);Aryal et al.;2022,,
Jones (2001);Jones;2001,,
Baffour (2016);Baffour;2016,,
Bakis et al. (2013);Bakis et al.;2013,,
Campaniello et al. (2016);Campaniello et al.;2016,,
Joseph (2020);Joseph;2020,,
Dumauli (2015);Dumauli;2015,,
Griliches (1976);Griliches;1976,,
Fersterer et al. (2008);Fersterer et al.;2008,,
Sinning (2017);Sinning;2017,,
Tobias (2003);Tobias;2003,,
Purnastuti (2013);Purnastuti;2013,,
Fasih et al. (2012);Fasih et al.;2012,,
