idstudy,idcoeff,rra,se,tstat,perstudy,pubyear,pyear,exp,ez,panel,csection,start,end,timespan,obs,avyear,midpoint,monthly,quarterly,annual,uk,us,eu,asia,developing,others,country,sepdur,totalc,ndsothers,nd,nds,durable,longrisk,fixed_ies,implied,exact,second,gmm,ml,ols,gls,ols_gls,ogmls,simul,stockhold,nonstockhold,firstlag,seclag,instrument,mreturn,consinclude,incomeincl,hcapital,top,econjournal,finjournal,gcits,yearcits,t_abs,ptop,id,econ,fin
1,1,29.943,33.603,,2,1989,0,0,0,0,0,1970,1984,15,60,1977,46.5,0,1,0,1,0,1,0,0,0,UK,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,305,9.242424242,0.89108115,0.37288564,1,1,0
1,2,5.102,4.07,,2,1989,0,0,0,0,0,1970,1984,15,60,1977,46.5,0,1,0,1,0,1,0,0,0,UK,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,305,9.242424242,1.2535627,0.21000101,1,1,0
2,1,1.586,0.079,,2,1990,1,0,1,0,0,1978,1986,9,35,1982,51.5,0,1,0,0,0,0,0,0,1,Israel,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,26,0.8125,20.075949,0,2,1,0
2,2,1.354,0.097,,2,1990,1,0,1,0,0,1978,1986,9,35,1982,51.5,0,1,0,0,0,0,0,0,1,Israel,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,26,0.8125,13.958763,0,2,1,0
3,1,0.9984,0.0127,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129,78.614174,0,3,1,0
3,2,0.9967,0.0182,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129,54.763737,0,3,1,0
3,3,0.8894,0.3402,,48,1991,2,0,1,0,0,1959,1986,28,333,1972.5,42,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129,2.6143446,0.008939882,3,1,0
3,4,0.9948,0.0307,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2066,66.64516129,32.403908,0,3,1,0
3,5,0.9969,0.0215,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2066,66.64516129,46.367443,0,3,1,0
3,6,0.9793,0.279,,48,1991,2,0,1,0,0,1959,1978,20,237,1968.5,38,1,0,0,0,1,0,0,0,0,USA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2066,66.64516129,3.5100358,0.000448046,3,1,0
