"Var Name","Mean","CI lower","CI upper","Weighted Mean","WM CI lower","WM CI upper","Obs"
"All Data",7.628,-1.782,17.038,7.842,-1.568,17.252,1754
"T-Statistic >= 9.806",8.132,0.77,15.494,8.059,0.697,15.421,877
"T-Statistic < 9.806",7.125,-3.878,18.128,7.594,-3.409,18.597,877
"Short Run",7.605,-1.771,16.981,8.074,-1.302,17.45,969
"Long Run",7.657,-1.8,17.114,7.444,-2.013,16.901,785
"Estimate: City",8.676,-2.672,20.024,9.863,-1.485,21.211,208
"Estimate: Sub-region",7.694,-3.523,18.911,7.241,-3.976,18.458,174
"Estimate: Region",7.489,-2.097,17.075,7.231,-2.355,16.817,542
"Estimate: Country",7.465,-0.622,15.552,7.674,-0.413,15.761,692
"Estimate: Continent",7.331,-1.565,16.227,6.761,-2.135,15.657,138
"Observations >= 6476",7.231,-0.487,14.949,7.244,-0.474,14.962,882
"Observations < 6476",8.031,-2.772,18.834,8.541,-2.262,19.344,872
"Study Size >= 20",7.436,-2.342,17.214,7.862,-1.916,17.64,884
"Study Size < 20",7.823,-1.187,16.833,7.678,-1.332,16.688,870
"Yrs. of Schooling >= 10.9",7.792,-0.94,16.524,8.026,-0.706,16.758,881
"Yrs. of Schooling < 10.9",7.463,-2.578,17.504,7.597,-2.444,17.638,873
"Yrs. of Experience >= 19.48",7.884,-1.202,16.97,7.795,-1.291,16.881,901
"Yrs. of Experience < 19.48",7.359,-2.357,17.075,7.927,-1.789,17.643,853
"Education: Years",8.178,-1.404,17.76,9.12,-0.462,18.702,1112
"Education: Levels",6.677,-2.125,15.479,6.974,-1.828,15.776,642
"Wage: Log Hourly",7.266,-2.067,16.599,8.022,-1.311,17.355,932
"Wage: Log Daily",6.919,1.302,12.536,6.143,0.526,11.76,166
"Wage: Log Monthly",7.822,-3.017,18.661,7.282,-3.557,18.121,370
"Wage: Annual Earnings",8.932,0.081,17.783,8.381,-0.47,17.232,285
"Micro Data",9.152,-2.465,20.769,10.862,-0.755,22.479,311
