"","BMA P.Mean","BMA SD","BMA PIP","FMA Coef","FMA SE","FMA p-val"
"Intercept",-7.068,0,1,9.326,286.408,0.974
"Standard Error",0.425,0.069,1,0.618,0.234,0.008
"Short Run",-0.077,0.247,0.111,0,1.092,0
"Estimate: City",-1.343,0.977,0.737,0,1.919,0
"Estimate: Sub-region",-2.044,0.758,0.996,-0.29,2.269,0.898
"Estimate: Region",-2.203,0.695,1,-0.42,2.336,0.857
"Estimate: Country",-0.802,0.723,0.62,0,1.174,0
"Study Size",-0.003,0.041,0.013,0,0.414,0
"Yrs. of Schooling",0.041,0.061,0.361,0,0.109,0
"Yrs. of Experience",0,0.001,0.005,0,0.016,0
"Education: Years",0.899,0.253,0.994,0.247,0.435,0.57
"Wage: Log Hourly",-1.417,0.311,1,-0.253,1.007,0.802
"Wage: Log Daily",-2.639,0.452,1,-0.976,1.632,0.55
"Wage: Log Monthly",-1.184,0.392,0.979,0,1.289,0
"Micro Data",0.02,0.131,0.038,0,0.569,0
"Survey Data",-1.029,0.247,0.995,-0.287,0.684,0.675
"Cross-sectional Data",0.194,0.353,0.294,0,0.998,0
"Data Year",2.7,10.841,0.078,0,38.542,0
"Primary Education",-0.017,0.198,0.021,0,0.423,0
"Secondary Education",-3.785,0.974,1,-2.763,2.252,0.22
"Higher Education",1.566,1.111,0.732,0,0.876,0
"Wage Earners",0.082,0.02,1,0.022,0.06,0.714
"Gender: Male",-1.405,0.293,1,-0.965,0.728,0.185
"Sector: Private",0.072,0.013,1,0.055,0.04,0.167
"Ethnicity: Caucasian",-2.038,0.326,1,-0.915,0.945,0.333
"Sector: Rural",-0.051,0.251,0.058,0,0.754,0
"Median Expenditure",-0.011,0.054,0.057,0,0.008,0
"Minimum Wage",-0.001,0.016,0.019,0,0.073,0
"Academic Freedom Index",-0.305,0.559,0.282,0,1.276,0
"Mean Age",0,0.036,0.004,0,0.286,0
"Method: OLS",-2.526,0.306,1,-1.101,1.424,0.439
"Method: Cohort",-0.002,0.071,0.011,0,0.18,0
"Method: FE",-4.012,0.709,1,-2.029,2.436,0.405
"Method: 2SLS",-1.611,0.474,0.996,-0.531,1.248,0.671
"Method: Heckman",-2.211,0.489,1,-0.604,1.793,0.736
"Method: Probit",-3.035,0.799,1,-1.005,2.466,0.684
"Ability: Direct",-1.092,0.428,0.959,0,0.745,0
"Ability: Proxied",0.006,0.076,0.019,0,0.25,0
"Ability: Uncontrolled",0.772,0.26,0.984,0.286,0.754,0.704
"Control: Age",-1.26,0.717,0.839,0,1.183,0
"Control: Age^2",2.846,0.673,1,1.254,1.108,0.258
"Control: Experience",0.003,0.044,0.01,0,0.518,0
"Control: Experience^2",0.043,0.158,0.088,0,0.564,0
"Control: Ethnicity",0,0.025,0.007,0,0.155,0
"Control: Health",-0.002,0.049,0.013,0,0.188,0
"Control: Gender",-0.002,0.028,0.009,0,0.211,0
"Control: Marriage",0.039,0.138,0.098,0,0.49,0
"Control: Occupation",-0.071,0.231,0.111,0,0.604,0
"Control: Firm Char.",-0.175,0.345,0.246,0,0.569,0
"Control: Area",1.374,0.252,1,0.342,1.27,0.788
"Control: Macro Var.",0.256,0.329,0.444,0,0.486,0
"Impact Factor",-0.093,0.104,0.52,0,0.195,0
"Citations",-0.001,0.01,0.014,0,0.026,0
"Study: Published",-1.501,0.298,1,-0.259,1.142,0.82
