data_avgyear,country,freedom_index
2003,Australia,0.923
2003,Australia,0.923
2003,Australia,0.923
2003,Australia,0.923
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2004,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2006,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
2008,Slovenia,0.95
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
1997,Spain,0.953
2001,Spain,0.955
2001,Spain,0.955
2001,Spain,0.955
2001,Spain,0.955
2001,Spain,0.955
2006,Poland,0.976
2006,Poland,0.976
2006,Poland,0.976
2006,Poland,0.976
2006,Poland,0.976
2006,Poland,0.976
2006,Poland,0.976
2006,Poland,0.976
1995,Nigeria,0.674
1995,Nigeria,0.674
1995,Nigeria,0.674
1995,Nigeria,0.674
1997,Netherlands,0.939
1997,Netherlands,0.939
1997,Netherlands,0.939
2007,Malaysia,0.431
2007,Malaysia,0.431
2007,Malaysia,0.431
2007,Malaysia,0.431
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
2000,Bangladesh,0.502
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
1985,Philippines,0.229
2011,South Africa,0.83
2011,South Africa,0.83
2011,South Africa,0.83
2011,South Africa,0.83
2011,South Africa,0.83
2011,South Africa,0.83
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2008,Indonesia,0.733
2013,Nigeria,0.907
2013,Nigeria,0.907
2013,Nigeria,0.907
2013,Nigeria,0.907
2013,Nigeria,0.907
2013,Nigeria,0.907
2013,Nigeria,0.907
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2007,Australia,0.923
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
2005,India,0.717
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1992,Ghana,0.723
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
1999,Ghana,0.797
2017,Turkey,0.062
2017,Turkey,0.062
2017,Turkey,0.062
2017,Turkey,0.062
2017,Turkey,0.062
2017,Turkey,0.062
2017,Turkey,0.062
2017,Turkey,0.062
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2001,China,0.293
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
2011,Nigeria,0.907
1970,United States,0.897
1965,United States,0.884
1970,United States,0.897
1950,United States,0.744
1960,United States,0.868
1970,United States,0.897
1980,United States,0.919
1990,United States,0.921
1970,United States,0.897
1970,United States,0.897
1970,United States,0.897
1970,United States,0.897
1970,United States,0.897
1970,United States,0.897
1970,United States,0.897
1970,United States,0.897
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
2013,Thailand,0.514
1989,China,0.2
1993,China,0.255
1997,China,0.288
2000,China,0.294
1989,China,0.2
1993,China,0.255
1997,China,0.288
2000,China,0.294
1989,China,0.2
1993,China,0.255
1997,China,0.288
2000,China,0.294
1989,China,0.2
1993,China,0.255
1997,China,0.288
2000,China,0.294
1989,China,0.2
1993,China,0.255
1997,China,0.288
2000,China,0.294
1995,China,0.268
1995,China,0.268
1995,China,0.268
1995,China,0.268
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2010,Zambia,0.722
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2002,Pakistan,0.56
2003,Sri Lanka,0.7
2003,Sri Lanka,0.7
2003,Sri Lanka,0.7
