Study title,Link,Citation,
Returns to education in Australia,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1759-3441.2008.tb01040.x,"Leigh, Andrew. ""Returns to education in Australia."" Economic Papers: A journal of applied economics and policy 27, no. 3 (2008): 233-249.", 
Returns to education in developed countries,https://www.sciencedirect.com/science/article/pii/B9780128153918000033,"Gunderson, Morley, and Philip Oreopolous. ""Returns to education in developed countries."" In The economics of education, pp. 39-51. Academic Press, 2020.", 
The Return to Schooling and Experience and the Ability Bias in Structural Models: A Survey,http://legacy.iza.org/en/papers/54_25052005.pdf,"Belzil, Christian. ""The Return to Schooling and Experience and the Ability Bias in Structural Models: A Survey."" Centre National de Recherche Scientifique (GATE, Ecully, France), and Forschungsinstitut zur Zukunft der Arbeit, IZA (2005).", 
The causal effect of education on earnings,https://www.sciencedirect.com/science/article/pii/S1573446399030114,"Card, David. ""The causal effect of education on earnings."" Handbook of labor economics 3 (1999): 1801-1863.", 
Returns to investment in education: a decennial review of the global literature,https://www.tandfonline.com/doi/abs/10.1080/09645292.2018.1484426,"Psacharopoulos, George, and Harry Anthony Patrinos. ""Returns to investment in education: a decennial review of the global literature."" Education Economics 26, no. 5 (2018): 445-458.", 
The returns to education: Microeconomics,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6419.00191,"Harmon, Colm, Hessel Oosterbeek, and Ian Walker. ""The returns to education: Microeconomics."" Journal of economic surveys 17, no. 2 (2003): 115-156.", 
Evolution of private returns to tertiary education during transition: evidence from Slovenia,https://www.tandfonline.com/doi/abs/10.1080/14631377.2013.813147,"Bartolj, Tjaša, Aleš Ahèan, Aljoša Feldin, and Sašo Polanec. ""Evolution of private returns to tertiary education during transition: evidence from Slovenia."" Post-Communist Economies 25, no. 3 (2013): 407-424.", 
Private returns to an university education: An instrumental variables approach,https://www.jstor.org/stable/29734986,"Salas-Velasco, Manuel. ""Private returns to an university education: An instrumental variables approach."" Higher Education (2006): 411-438.", 
Returns to investment in education,https://openknowledge.worldbank.org/handle/10986/30154,"Psacharopoulos, George, and Harry Anthony Patrinos. ""Returns to investment in education."" (2018).", 
The economic returns to schooling: Evidence from Chinese twins,https://core.ac.uk/download/pdf/48538592.pdf,"Ning, M. A. ""The economic returns to schooling: Evidence from Chinese twins."" PhD diss., The Chinese University of Hong Kong, 2005.", 
Dynamic rates of return to education in the US,https://www.sciencedirect.com/science/article/pii/S0272775799000679,"Arias, Omar, and Walter W. McMahon. ""Dynamic rates of return to education in the US."" Economics of Education Review 20, no. 2 (2001): 121-138.", 
Education and earnings in Europe: A cross country analysis of the returns to education,,"Harmon, Colm, Ian Walker, and Niels C. Westerg?rd-Nielsen, eds. Education and earnings in Europe: A cross country analysis of the returns to education. Edward Elgar Publishing, 2001.", 
Estimating private returns to education in Mexico,https://www.scielo.cl/scielo.php?pid=S0719-04332012000100001&script=sci_arttext,"Harberger, Arnold C., and Sylvia Guillermo-Peón. ""Estimating private returns to education in Mexico."" Latin american journal of economics 49, no. 1 (2012): 1-35.", 
Rewards to education in the tourism sector: one step ahead,https://journals.sagepub.com/doi/pdf/10.5367/000000010790872033,"Lillo-Ba?uls, Adelaida, and José M. Casado-Díaz. ""Rewards to education in the tourism sector: one step ahead."" Tourism Economics 16, no. 1 (2010): 11-23.", 
Evolution of private returns to schooling over the business cycle in a transition economy,https://www.emerald.com/insight/content/doi/10.1108/IJM-11-2019-0498/full/html,"Wincenciak, Leszek. ""Evolution of private returns to schooling over the business cycle in a transition economy."" International Journal of Manpower 41, no. 8 (2020): 1307-1322.", 
Private returns to higher education in Nigeria,http://publication.aercafricalibrary.org/handle/123456789/426,"Okuwa, O. B. Private returns to higher education in Nigeria. AERC, 2004.", 
"Public and private incentives for investment in higher education: are they sufficient, especially for black males?",https://www.jstor.org/stable/23597603,"Appiah, Elizabeth N. ""Public and private incentives for investment in higher education: are they sufficient, especially for black males?."" Journal of Education Finance (2013): 47-72.", 
"Human capital investment: the returns from education and training to the individual, the firm and the economy",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-5890.1999.tb00001.x,"Blundell, Richard, Lorraine Dearden, Costas Meghir, and Barbara Sianesi. ""Human capital investment: the returns from education and training to the individual, the firm and the economy."" Fiscal studies 20, no. 1 (1999): 1-23.", 
The outcomes of investment in education and people's well-being,https://www.jstor.org/stable/1503890,"Vila, Luis E. ""The outcomes of investment in education and people's well-being."" European journal of education 40, no. 1 (2005): 3-11.", 
