                                                                                                                                          organic_result_title                                                                                                                                                                                                                                                                                                                               organic_result_link                                                                                                                                                 citation_title                                                                                                                                                                                                                                                 citation_snippet
                                                               Is school the best route to skills? Returns to vocational school and vocational skills in Egypt                                                                                                                                                                                                                                                                                 https://www.tandfonline.com/doi/abs/10.1080/00220388.2017.1329524                                                                Is school the best route to skills? Returns to vocational school and vocational skills in Egypt                                                                             Krafft, Caroline. "Is school the best route to skills? Returns to vocational school and vocational skills in Egypt." The Journal of Development Studies 54, no. 7 (2018): 1100-1120.
                                                      DEMOGRAPHIC FACTORS AS DETERMINANTS OF PRIVATE RETURNS TO INVESTMENT IN EDUCATION AMONG NIGERIAN WORKERS                                                                                                                                                                                                                                                                                                  http://ir.library.ui.edu.ng/handle/123456789/239                                                       DEMOGRAPHIC FACTORS AS DETERMINANTS OF PRIVATE RETURNS TO INVESTMENT IN EDUCATION AMONG NIGERIAN WORKERS                                                                                                                        FABUNMI, AB. "DEMOGRAPHIC FACTORS AS DETERMINANTS OF PRIVATE RETURNS TO INVESTMENT IN EDUCATION AMONG NIGERIAN WORKERS." PhD diss., 2012.
                                                                                      The college wage premium and the expansion of higher education in the UK                                                                                                                                                                                                                                                                          https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9442.2008.00557.x                                                                                       The college wage premium and the expansion of higher education in the UK                                                                                           Walker, Ian, and Yu Zhu. "The college wage premium and the expansion of higher education in the UK." The Scandinavian Journal of Economics 110, no. 4 (2008): 695-709.
                                                                            Higher learning, greater good: The private and social benefits of higher education                                                                https://books.google.com/books?hl=en&lr=&id=uIkQZ7hy-tYC&oi=fnd&pg=PR7&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=Px2KqYORJb&sig=6Qg-pcFc7pGY7oGmDcYPml54Buk                                                                             Higher learning, greater good: The private and social benefits of higher education                                                                                                                                          McMahon, Walter W. Higher learning, greater good: The private and social benefits of higher education. JHU Press, 2009.
                                                                                                                              Returns to education in Ethiopia                                                                                                                                                                                                                                                                                     https://link.springer.com/chapter/10.1007/978-981-10-8126-2_9                                                                                                                               Returns to education in Ethiopia                                                                                                                                              Desalegn, Yonatan. "Returns to education in Ethiopia." Economic Growth and Development in Ethiopia (2018): 199-226.
                                                                                                                 Essays on earnings and human capital in Kenya                                                                                                                                                                                                                                                                                                           https://gupea.ub.gu.se/handle/2077/2934                                                                                                                  Essays on earnings and human capital in Kenya                                                                                                                                                                                  Wambugu, Anthony. Essays on earnings and human capital in Kenya. No. 124. 2003.
                                                                                                        Role of human capital and education in economic growth                                                                                                                                                                                                                                                                                       https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2013733                                                                                                         Role of human capital and education in economic growth                                                                                   Tatlah, Ijaz Ahmad, Farah Naz, and Muhammad Zafar Iqbal. "Role of human capital and education in economic growth." International journal of academic research 3, no. 2 (2011).
                                                                            How large are human-capital externalities? Evidence from compulsory schooling laws                                                                                                                                                                                                                                                                                          https://www.journals.uchicago.edu/doi/abs/10.1086/654403                                                                             How large are human-capital externalities? Evidence from compulsory schooling laws                                                                                           Acemoglu, Daron, and Joshua Angrist. "How large are human-capital externalities? Evidence from compulsory schooling laws." NBER macroeconomics annual 15 (2000): 9-59.
                                                                                                              Signaling and employer learning with instruments                                                                                                                                                                                                                                                                                                   https://www.aeaweb.org/doi/10.1257/aer.20200146                                                                                                               Signaling and employer learning with instruments                                                                                                    Aryal, Gaurab, Manudeep Bhuller, and Fabian Lange. "Signaling and employer learning with instruments." American Economic Review 112, no. 5 (2022): 1669-1702.
                                                                                                                  Are educated workers really more productive?                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0304387800001243                                                                                                                   Are educated workers really more productive?                                                                                                                                       Jones, Patricia. "Are educated workers really more productive?." Journal of development economics 64, no. 1 (2001): 57-79.
