                                                                                                                                            organic_result_title                                                                                                                                                                                                                                                                                                                                organic_result_link                                                                                                                                                   citation_title                                                                                                                                                                                                                                                              citation_snippet
                                                                                                                            A degree of waste: A dissenting view                                                                                                                                                                                                                                                                                       https://www.tandfonline.com/doi/abs/10.1080/0305498930190403                                                                                                                             A degree of waste: A dissenting view                                                                                                                                                                       JOHNES, Geraint. A degree of waste: A dissenting view. Oxford Review of Education, 1993, 19.4: 459-464.
                                                                                                The returns to education: Evidence from the Labour Force Surveys                                                                                                                                                                                                                                                                                                            https://dera.ioe.ac.uk/4656/1/RR313.pdf                                                                                                 The returns to education: Evidence from the Labour Force Surveys                                                                                                                                                                          Walker, Ian, and Yu Zhu. "The returns to education: Evidence from the Labour Force Surveys." (2001).
                                                                  Heterogeneity in the economic returns to schooling among Chinese rural–urban migrants, 2002–07                                                                                                                                                                                                                                                                                         https://onlinelibrary.wiley.com/doi/abs/10.1111/ecot.12057                                                                   Heterogeneity in the economic returns to schooling among Chinese rural–urban migrants, 2002–07                                                                                                               Zhu, Rong. "Heterogeneity in the economic returns to schooling among Chinese rural–urban migrants, 2002–07." Economics of Transition 23, no. 1 (2015): 135-167.
      Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic …                                                                                                                                                                                                                                                                                                                     https://ftp.iza.org/dp3766.pdf       Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic …                                         Oyelere, Ruth Uwaifo. Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic reforms. Forschungsinst. zur Zukunft der Arbeit, 2008.
                                                                                                         Bayesian inference on returns to schooling in Palestine                                                                                                                                                                                                                                                                  https://fada.birzeit.edu/bitstream/20.500.11889/5922/1/HD5962.23.A6A99%202014.pdf                                                                                                          Bayesian inference on returns to schooling in Palestine                                                                                                                                                                                   Ayyash, Mohsen. "Bayesian inference on returns to schooling in Palestine." PhD diss., 2014.
                                                                                                  Using rate of return analyses to understand sector skill needs                                                                                                                                                                                                                                               https://eprints.lse.ac.uk/19408/1/Using_Rate_of_Return_Analyses_to_Understand_Sector_Skill_Needs.pdf                                                                                                   Using rate of return analyses to understand sector skill needs                                                              Powdthavee, Nattavudh, and Anna Vignoles. Using rate of return analyses to understand sector skill needs. No. 70. Centre for the Economics of Education, London School of Economics and Political Science, 2006.
                                                                                                       Changes in return to higher education in Poland 1998-2005                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1159044                                                                                                        Changes in return to higher education in Poland 1998-2005                                                                                                                                                             Strawinski, Pawel. "Changes in return to higher education in Poland 1998-2005." Available at SSRN 1159044 (2008).
                                                                                                                           Wage returns to education in Ethiopia                                                                                                                                                                                                                                                                                  https://www.tandfonline.com/doi/abs/10.1080/13600818.2019.1672145                                                                                                                            Wage returns to education in Ethiopia                                                                                                                                                Alvi, Eskander, and Seife Dendir. "Wage returns to education in Ethiopia." Oxford Development Studies 48, no. 1 (2020): 70-84.
                                                                                                          The contribution of universities to regional economies                                                                                                                                                                                                                                            https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6b88f46c7f7458e42d30182aedc5beab2e6f7c37                                                                                                           The contribution of universities to regional economies                            Hoffman, Dennis L., and Kent Hill. The contribution of universities to regional economies. Center for Competitiveness and Prosperity Research, L. William Seidman Research Institute, WP Carey School of Business, Arizona State University, 2008.
                                                                                                           Three Essays on Investment in Human Capital in Canada                                                                                                                                                                                                                                      https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=1132080080                                                                                                            Three Essays on Investment in Human Capital in Canada                                                                                                                                                            Savadogo, Aboudrahyme. "Three Essays on Investment in Human Capital in Canada." PhD diss., Université Laval, 2016.
