                                                                                                                                  organic_result_title                                                                                                                                                                                                                                                                                                                               organic_result_link                                                                                                                                         citation_title                                                                                                                                                                                                                                                                                                        citation_snippet
                                                                                                                   Higher Education in China: A Growth                                                                https://books.google.com/books?hl=en&lr=&id=yElnDwAAQBAJ&oi=fnd&pg=PA3&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=VjAmrru6dw&sig=DwhPpACRs20pAeoFSvNu1EvgDnE                                                                                                                    Higher Education in China: A Growth                                                                                                                                                                                                 Fleisher, Belton M. "Higher Education in China: A Growth." Critical Issues in China's Growth and Development (2005): 1.
                                                           Education-job mismatch and gender wage gap: Evidence from recent college graduates in Korea                                                                                                                                                                                                                                                                                                       http://e-asianwomen.org/xml/28632/28632.pdf                                                            Education-job mismatch and gender wage gap: Evidence from recent college graduates in Korea                                                                                                                                                                        Park, Kihong. "Education-job mismatch and gender wage gap: Evidence from recent college graduates in Korea." Asian Women 37, no. 1 (2021): 1-24.
                                                                                                              Melbourne Institute Working Paper Series                                                                                                                                                                                                                                                            https://melbourneinstitute.unimelb.edu.au/downloads/working-paper-series/wp2008n11.pdf                                                                                                               Melbourne Institute Working Paper Series                                                                                                                                                                                                                                 Coelli, Michael, and Roger Wilkins. "Melbourne Institute Working Paper Series." (2008).
                                                                                 Does family income matter for schooling outcomes? Using adoption as a                                                                                                                                                                                                                                           https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=4798575c8cc3650f718845ccdd488e3902db336e                                                                                  Does family income matter for schooling outcomes? Using adoption as a                                                                                                                                                                                                           Plug, E., and W. Vijverberg. "Does family income matter for schooling outcomes? Using adoption as a." (2002).
                                  Education, labor market, and development: a review of the trends and issues in the Philippines for the past 25 years                                                                                                                                                                                                                                                                                                       https://www.econstor.eu/handle/10419/127796                                   Education, labor market, and development: a review of the trends and issues in the Philippines for the past 25 years                                                                                                                                                                      Orbeta, Aniceto C. "Education, labor market, and development: a review of the trends and issues in the Philippines for the past 25 years." (2002).
                                                                                                                       ECO/WKP (2007) 51 Un classified                                                                                                                                                                                                                                                                       http://www.ucetam.org/informacion/Noticias/documentos/not_2008_035_doc1.pdf                                                                                                                        ECO/WKP (2007) 51 Un classified                                                                                                                                                                                                                                         Boarini, Romina, and Hubert Strauss. "ECO/WKP (2007) 51 Un classified." (2007).
                                              Economic Returns to Schooling in Urban China: Ordinary Least Squares the Instrumental Variables Approach                                                                                                                                                                                                                                                                                     https://link.springer.com/chapter/10.1007/978-3-642-41109-0_8                                               Economic Returns to Schooling in Urban China: Ordinary Least Squares the Instrumental Variables Approach                                              Chen, Guifu, Shigeyuki Hamori, Guifu Chen, and Shigeyuki Hamori. "Economic Returns to Schooling in Urban China: Ordinary Least Squares the Instrumental Variables Approach." Rural Labor Migration, Discrimination, and the New Dual Labor Market in China (2014): 97-114.
                                                                                                                             Inequality and investment                                                                                                                                                                                                                                                      https://economics.mit.edu/sites/default/files/publications/Inequality%20and%20Investment.pdf                                                                                                                              Inequality and investment                                                                                                                                                                                                 Banerjee, Abhijit. "Inequality and investment." Massachusetts Institute of Technology. Cambridge, Massachusetts (2004).
                                        Intergenerational Effects of Mother's Schooling on Children's Outcomes: Causal Links and Transmission Channels                                                                                                                                                                                                                                                          https://sgfm.elcorteingles.es/SGFM/FRA/recursos/doc/Actos/2005/619376377_46200718204.pdf                                         Intergenerational Effects of Mother's Schooling on Children's Outcomes: Causal Links and Transmission Channels                                                                                                                                        Carneiro, Pedro, Costas Meghir, and Matthias Parey. Intergenerational Effects of Mother’s Schooling on Children’s Outcomes: Causal Links and Transmission Channels. MIMEO, 2005.
                                                                            The economic value of intermediate vocational education and qualifications                                                                                                                                                                                                                                                                                     https://dera.ioe.ac.uk/11087/2/UKCES%20Full%20Report%2011.pdf                                                                             The economic value of intermediate vocational education and qualifications                                                                                                                                                                                            McIntosh, Steven, and Richard Garrett. "The economic value of intermediate vocational education and qualifications." (2009).
                                            Movilidad de la enseñanza intergeneracional y condiciones macro y políticas de enseñanza en América Latina                                                                                                                                                                                                                                      https://www.academia.edu/download/51408473/Movilidad_de_la_enseanza_intergeneracion20170118-2337-19h0taf.pdf                                             Movilidad de la enseñanza intergeneracional y condiciones macro y políticas de enseñanza en América Latina                                                                                    Birdsall, Nancy, and Jere R. Behrman. "Movilidad de la enseñanza intergeneracional y condiciones macro y políticas de enseñanza en América Latina." In Workshop on Social Mobility at the Brookings Institution, vol. 4, p. 5. 1998.
                                                          The Role of agriculture and human capital in economic growth: farmers, schooling, and health                                                                                                                                                                                                                                                                                      https://ageconsearch.umn.edu/record/18202/files/wp040016.pdf                                                           The Role of agriculture and human capital in economic growth: farmers, schooling, and health                                                                                                                                                      Huffman, Wallace E., and Peter F. Orazem. The Role of agriculture and human capital in economic growth: farmers, schooling, and health. No. 1043-2016-85345. 2004.
                                                                     Industry Knowledge Spillovers: Do Workers Gain from Their Collective Experiences?                                                                                                                                                                                                                                           https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b1cead90c65467a0854f5edcdffabb729cac8280                                                                      Industry Knowledge Spillovers: Do Workers Gain from Their Collective Experiences?                                                                                                                                     Riley, Rebecca. Industry Knowledge Spillovers: Do Workers Gain from Their Collective Experiences?. Centre for Learning and Life Chances in Knowledge Economies and Societies, 2010.
