organic_result_title,organic_result_link,citation_title,citation_snippet
Does Obesity Hurt your Wages more in Helsinki! than in Madrid? Evidence from ECHP,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=73445ea3eeaf7cf094332d4b905d43133be3d2fe,Does Obesity Hurt your Wages more in Helsinki! than in Madrid? Evidence from ECHP,"Béatrice dlHombres, Giorgio Brunello. ""Does Obesity Hurt your Wages more in Helsinki! than in Madrid? Evidence from ECHP."""
Essays in Labor Economics,https://search.proquest.com/openview/81ab3c20552b9ada8981a2c65efbb86a/1?pq-origsite=gscholar&cbl=18750,Essays in Labor Economics,"McAdams, John M. Essays in Labor Economics. University of California, San Diego, 2013."
"Are the Children of Uneducated Farmers Doubly Disadvantaged? Economic Reform, Structural Change and Intergenerational Educational Mobility in Rural …",https://www.aeaweb.org/conference/2016/retrieve.php?pdfid=13152&tk=T64h3Stn,"Are the Children of Uneducated Farmers Doubly Disadvantaged? Economic Reform, Structural Change and Intergenerational Educational Mobility in Rural …","Emran, M. Shahe, and Yan Sun. ""Are the Children of Uneducated Farmers Doubly Disadvantaged? Economic Reform, Structural Change and Intergenerational Educational Mobility in Rural China."""
"How institutions affect workers' well-being: An international study of differences in the gender pay gap, rates of return to education, and workers' incomplete …",https://search.proquest.com/openview/abbc53baef8914b004419b75d15c7fb0/1?pq-origsite=gscholar&cbl=18750&diss=y,"How institutions affect workers' well-being: An international study of differences in the gender pay gap, rates of return to education, and workers' incomplete …","Xiang, Jun. How institutions affect workers' well-being: An international study of differences in the gender pay gap, rates of return to education, and workers' incomplete information on wages. State University of New York at Binghamton, 2005."
Education and the labour market: three essays on interrelations and multiple effects during lifetime,https://books.google.com/books?hl=en&lr=&id=TwvXBXIOaLYC&oi=fnd&pg=PA1&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=3T3G0x8in0&sig=CdO6vogvo5FkHJKSrpLkHG2mOmM,Education and the labour market: three essays on interrelations and multiple effects during lifetime,"KARASIATOU, Pavlina. Education and the labour market: three essays on interrelations and multiple effects during lifetime. Presses univ. de Louvain, 2010."
Education for development: science and technology in third world agriculture,https://search.proquest.com/openview/44d0b73aa1bc19e224b2094290451294/1?pq-origsite=gscholar&cbl=18750&diss=y,Education for development: science and technology in third world agriculture,"Ursone, Diane. Education for development: science and technology in third world agriculture. North Carolina State University, 1993."
Are the Children of Uneducated Farmers Doubly Disadvantaged?,https://openknowledge.worldbank.org/handle/10986/22882,Are the Children of Uneducated Farmers Doubly Disadvantaged?,"Emran, M. Shahe, and Yan Sun. ""Are the Children of Uneducated Farmers Doubly Disadvantaged?."" (2015)."
Spatial aspects of the economic development process,https://search.proquest.com/openview/40306c9d44ea9693f3366bd09b7441d4/1?pq-origsite=gscholar&cbl=51922,Spatial aspects of the economic development process,"Cali, Massimiliano. Spatial aspects of the economic development process. London School of Economics and Political Science (United Kingdom), 2009."
The Impact of Financial Incentives on Academic Achievement and Household Behavior: Evidence from a Randomized Trial in Nepal,https://rave.ohiolink.edu/etdc/view?acc_num=osu1300977995,The Impact of Financial Incentives on Academic Achievement and Household Behavior: Evidence from a Randomized Trial in Nepal,"Sharma, Dhiraj. ""The Impact of Financial Incentives on Academic Achievement and Household Behavior: Evidence from a Randomized Trial in Nepal."" PhD diss., The Ohio State University, 2011."
"The algebra obstacle: Access, race, and the math achievement gap",https://search.proquest.com/openview/49f3e3bfa92e36046ee0cb06f0f9ce28/1?pq-origsite=gscholar&cbl=18750&diss=y,"The algebra obstacle: Access, race, and the math achievement gap","Diette, Timothy M. The algebra obstacle: Access, race, and the math achievement gap. The University of North Carolina at Chapel Hill, 2005."
Determinants and consequences of educational choices in the UK,https://core.ac.uk/download/pdf/47293.pdf,Determinants and consequences of educational choices in the UK,"Bratti, Massimiliano. ""Determinants and consequences of educational choices in the UK."" PhD diss., University of Warwick, 2004."
The effect of educational mismatch on wages in Europe,https://eprints.ucm.es/id/eprint/55765/,The effect of educational mismatch on wages in Europe,"Iriondo Múgica, Iñaki, and Teodosio Pérez-Amaral. ""The effect of educational mismatch on wages in Europe."" (2016)."
The effect of grants on university dropout rates: Evidence from the Italian case,https://www.journals.uchicago.edu/doi/abs/10.1086/710220,The effect of grants on university dropout rates: Evidence from the Italian case,"Modena, Francesca, Enrico Rettore, and Giulia Martina Tanzi. ""The effect of grants on university dropout rates: Evidence from the Italian case."" Journal of Human Capital 14, no. 3 (2020): 343-370."
What we learn in school: Cognitive and non-cognitive skills in the educational production function,https://search.proquest.com/openview/54248a21c0ba01cce61ea685e279726a/1?pq-origsite=gscholar&cbl=18750,What we learn in school: Cognitive and non-cognitive skills in the educational production function,"García, María Emma García. What we learn in school: Cognitive and non-cognitive skills in the educational production function. Columbia University, 2013."
Essays on labor markets,https://search.proquest.com/openview/31c1387ed067a4fa56604562fd85c80f/1?pq-origsite=gscholar&cbl=18750,Essays on labor markets,"COLONNA, Fabrizio. Essays on labor markets. University of Minnesota, 2008."
"Causal relation between basic education, child health and nutrition for children in sub-Saharan African countries: the case of Tanzania",http://dspace.unive.it/handle/10579/935,"Causal relation between basic education, child health and nutrition for children in sub-Saharan African countries: the case of Tanzania","Luzi, Lucia. ""Causal relation between basic education, child health and nutrition for children in sub-Saharan African countries: the case of Tanzania."" (2010)."
Occupational choice in Vietnam: entrepreneurship or wage employment?-investigation of determinants and policy implications; final draft,https://idl-bnc-idrc.dspacedirect.org/handle/10625/54690,Occupational choice in Vietnam: entrepreneurship or wage employment?-investigation of determinants and policy implications; final draft,"Thanh, To Trung, and Nguyen Duc Hung. ""Occupational choice in Vietnam: entrepreneurship or wage employment?-investigation of determinants and policy implications; final draft."" (2015)."
