obs_n,study_id,study_name,effect,se,t_stat,95_lower,95_upper,pcc,se_pcc,se_pcc_precision,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_log_hourly,wage_log_daily,wage_log_monthly,wage_mean_annual_earnings,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_latin_america_and_caribbean,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,freedom_index,mean_age,method_ols,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,marriage_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,X
1,1,Leigh (2008),11,0.834983498349835,13.173913043478262,10.165016501650165,11.834983498349835,0.12240880647423871,0.009291757587153433,107.6222652840811,1,0,0,0,0,1,0,11414,4,11409,4,15,23.5,0,1,1,0,0,0,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,X
2,1,Leigh (2008),15,1.2561576354679802,11.941176470588236,13.74384236453202,16.25615763546798,0.10718916127037026,0.008976432224612288,111.4028352220074,1,0,0,0,0,1,0,12273,4,12268,4,15,23.5,0,1,0,0,0,1,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,X
3,1,Leigh (2008),8,0.7506702412868633,10.657142857142857,7.249329758713136,8.750670241286864,0.09928097222748934,0.009315908922150475,107.34325639683917,1,0,0,0,0,1,0,11414,4,11409,4,17,21.5,0,1,1,0,0,0,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,X
4,1,Leigh (2008),13,1.2224231464737794,10.634615384615385,11.77757685352622,14.22242314647378,0.09557454934859788,0.008987118564425118,111.27036912124763,1,0,0,0,0,1,0,12273,4,12268,4,17,21.5,0,1,0,0,0,1,0,1,0,1,0,2003,0,0,0,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,Australia,1,0,0,0,0,0,0,1,0,0,25844,1847,0.923,44.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.186,134,1,0,29,X
5,2,Bartolj et al. (2013),10.08258261360147,1.595399748023209,6.319784509239365,8.487182865578262,11.677982361624679,0.02112035174850189,0.003341941757290058,299.22723752399816,1,0,0,0,0,1,0,89504,6,89497,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
6,2,Bartolj et al. (2013),9.427024125309735,0.2929212882895481,32.18278937784567,9.134102837020187,9.719945413599284,0.10695987089112678,0.0033235115090663003,300.88657652367743,1,0,0,0,0,1,0,89504,6,89497,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
7,2,Bartolj et al. (2013),10.85307787455272,0.6774825232974956,16.01971637840601,10.175595351255225,11.530560397850216,0.05347229307613806,0.0033379051047505905,299.58910412904635,1,0,0,0,0,1,0,89504,6,89497,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
8,2,Bartolj et al. (2013),9.439541560473774,1.522693443855023,6.199239642469047,7.916848116618751,10.962235004328797,0.020717672418789468,0.003341969921094708,299.2247158443713,1,0,0,0,0,1,0,89504,6,89497,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
9,2,Bartolj et al. (2013),10.05506884524388,1.155867189672479,8.699155867633054,8.899201655571401,11.21093603491636,0.02906627241682818,0.003341275045429988,299.28694477509265,1,0,0,0,0,1,0,89504,6,89497,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
10,2,Bartolj et al. (2013),9.301197394385863,0.1961816363488977,47.41115207054457,9.105015758036965,9.497379030734761,0.15652717185315573,0.003301484250377505,302.89406950393777,1,0,0,0,0,1,0,89504,6,89497,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
